City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,kenai,60.5544,-151.2583,15.05,76,100,5.66,US,1691131747
290,ribeira brava,32.65,-17.0667,23.4,87,46,3.51,PT,1691131748
291,guerrero negro,27.9769,-114.0611,20.92,75,2,5.46,MX,1691131748
292,akureyri,65.6835,-18.0878,5.96,93,75,1.03,IS,1691131748
293,cill airne,52.05,-9.5167,12.03,94,40,0.0,IE,1691131748
294,tupancireta,-29.0806,-53.8358,14.92,82,0,2.81,BR,1691131631
295,pyt-yakh,60.7499,72.8582,27.52,49,53,4.36,RU,1691131749
296,ratnagiri,16.9833,73.3,27.8,81,100,7.24,IN,1691131749
297,usogorsk,63.4106,48.6872,26.5,44,21,2.05,RU,1691131750
298,nha trang,12.25,109.1833,37.0,63,100,3.26,VN,1691131646
299,conception bay south,47.4999,-52.9981,13.14,89,1,0.56,CA,1691131637
300,arenapolis,-14.4503,-56.8461,20.86,41,48,1.1,BR,1691131751
301,onega,63.9061,38.1404,24.45,54,48,5.99,RU,1691131515
302,kimbe,-5.5502,150.1429,26.93,73,100,4.29,PG,1691131751
303,nieuw amsterdam,5.8833,-55.0833,26.12,86,10,2.7,SR,1691131752
304,broken hill,-31.95,141.4333,22.42,32,92,8.32,AU,1691131565
305,coruripe,-10.1256,-36.1756,23.15,64,66,2.87,BR,1691131752
306,katiola,8.1333,-5.1,23.35,97,87,2.01,CI,1691131753
307,guiratinga,-16.3494,-53.7583,18.88,39,6,1.5,BR,1691131753
308,mollendo,-17.0231,-72.0147,16.41,84,96,1.73,PE,1691131753
309,mgandu,-5.95,34.1333,19.52,44,39,5.72,TZ,1691131753
310,souillac,-20.5167,57.5167,24.21,73,40,6.69,MU,1691131754
311,road town,18.4167,-64.6167,28.05,72,59,7.16,VG,1691131623
312,quelimane,-17.8786,36.8883,18.97,93,75,1.54,MZ,1691131754
313,vila do maio,15.1333,-23.2167,26.44,81,74,3.21,CV,1691131755
314,ibarreta,-25.2144,-59.8585,20.79,52,0,1.48,AR,1691131755
315,gorontalo,0.5412,123.0595,30.66,65,75,4.39,ID,1691131755
316,kargasok,59.0556,80.8572,28.82,47,69,3.83,RU,1691131755
317,tyukhtet,56.5389,89.3011,28.59,35,87,3.41,RU,1691131756
318,lahat,-3.8,103.5333,32.8,54,89,2.57,ID,1691131756
319,mount pearl,47.5166,-52.7813,12.81,89,0,3.09,CA,1691131628
320,el granada,37.5027,-122.4694,16.69,91,100,6.17,US,1691131757
321,dunedin,-45.8742,170.5036,7.11,86,100,5.36,NZ,1691131757
322,naberezhnyye chelny,55.7561,52.4289,26.49,48,18,2.57,RU,1691131757
323,ventspils,57.3894,21.5606,17.96,100,75,7.72,LV,1691131758
324,nizhniy odes,63.6445,54.856,26.67,49,19,2.38,RU,1691131758
325,yakeshi,49.2833,120.7333,11.01,93,100,7.36,CN,1691131561
326,al khawr,25.6839,51.5058,41.99,18,4,9.96,QA,1691131596
327,dudinka,69.4058,86.1778,22.57,37,17,2.03,RU,1691131493
328,chernyshevskiy,63.0128,112.4714,17.71,63,100,3.59,RU,1691131759
329,hirara,24.8,125.2833,27.15,89,75,14.92,JP,1691131526
330,monrovia,6.3005,-10.7969,23.87,89,100,2.18,LR,1691131485
331,minas de marcona,-15.2119,-75.1103,11.47,86,29,1.65,PE,1691131603
332,bauchi,10.3134,9.8433,23.3,80,43,1.96,NG,1691131760
333,port lincoln,-34.7333,135.8667,12.93,61,48,7.25,AU,1691131760
334,shingu,33.7333,135.9833,29.97,70,6,3.94,JP,1691131761
335,chadron,42.8294,-102.9999,17.82,90,100,3.09,US,1691131761
336,vernon,50.2581,-119.2691,20.89,37,0,3.6,CA,1691131592
337,yuzhno-kurilsk,44.0306,145.8556,20.72,93,89,2.3,RU,1691131761
338,bandarbeyla,9.4942,50.8122,31.04,43,100,15.41,SO,1691131762
339,logan,41.7355,-111.8344,18.47,81,100,1.54,US,1691131640
340,tromso,69.6489,18.9551,17.95,63,0,1.54,NO,1691131762
341,lenggries,47.6833,11.5667,13.61,93,100,1.8,DE,1691131762
342,enewetak,11.3474,162.3373,28.57,77,55,5.54,MH,1691131763
343,komarichi,52.4151,34.7905,24.55,56,4,4.41,RU,1691131763
344,anloga,5.7947,0.8973,24.86,85,100,4.85,GH,1691131764
345,plettenberg bay,-34.0527,23.3716,20.7,44,50,4.22,ZA,1691131764
346,padangsidempuan,1.3667,99.2667,32.47,50,20,2.22,ID,1691131669
